id,title,link,published,summary,author
29,Autoridades alemanas decomisan tanque nazi,http://www.eluniversal.com.mx/cultura/2015/alemania-decomisa-tanque-nazi-1111802.html,"Fri, 03 Jul 2015 18:11:00 CST",Pertenecía a un coleccionista que llamó la atención de las autoridades durante una investigación al mercado negro de arte de la Segunda Guerra Mundial,AP
30,Conaculta e INBA lamentan muerte de Gustavo Sainz,http://www.eluniversal.com.mx/cultura/2015/conaculta-inba-gustavo-sainz-1111785.html,"Fri, 03 Jul 2015 16:19:00 CST",Ambas instituciones destacaron la vocación experimental del autor de &quot;Gazapo&quot;,Notimex
31,Unesco condena destrucción de reliquias en Palmira,http://www.eluniversal.com.mx/cultura/2015/unesco-condena-destruccion-reliquias-palmira--1111774.html,"Fri, 03 Jul 2015 15:20:00 CST","Las nuevas destrucciones de bienes culturales de Palmira muestran la brutalidad y la ignorancia de los grupos extremistas, expresó la directora general de la Unesco, Irina Bokova",EFE
32,Gustavo Sainz: admirado por alumnos y colegas en EUA,http://www.eluniversal.com.mx/cultura/2015/gustavo-sainz-admirado-colegas-alumnos-eu-1111770.html,"Fri, 03 Jul 2015 14:56:00 CST","El escritor falleció el pasado viernes, a los 74 años",EFE
33,"Exageración, peligro más grande de la pasión: Barenboim",http://www.eluniversal.com.mx/cultura/2015/barenboim-conciertos-musica-escuela-1111742.html,"Fri, 03 Jul 2015 13:10:00 CST","El pianista, que está por festejar 65 años en escena, está involucrado en en diversos proyectos, entre ellos la apertura de la Academia Barenboim-Said, con un enfoque filosófico-musical",EFE
34,Máquinas de escribir persisten en India,http://www.eluniversal.com.mx/cultura/2015/maquinas-de-escribir-persisten-en-india-1111740.html,"Fri, 03 Jul 2015 12:54:00 CST",En el país asiático todavía son funcionales y todavía se puede escuchar su tecleo en calles de Nueva Delhi,EFE
35,"#39;Nafea faa ipoipo#39;, la obra más cara, visita el Reina Sofía",http://www.eluniversal.com.mx/cultura/2015/nafea-faa-ipoipo-gauguin-reina-sofia-1111714.html,"Fri, 03 Jul 2015 11:32:00 CST","Luego de Madrid, este Gauguin, el cuadro más caro adquirido en una venta privada, visitará Washington antes de llegar a su propietario definitivo",EFE
36,EI asegura que destruyó reliquias en Palmira,http://www.eluniversal.com.mx/cultura/2015/estado-islamico-destruccion-reliquias-palmira-1111709.html,"Fri, 03 Jul 2015 11:17:00 CST",Rebeldes mostraron fotografías en las que se les puede observar destruyendo bustos con mazos; se desconoce si son reales,AP
37,Hijo de Vargas Llosa habla sobre el affair de su padre,http://www.eluniversal.com.mx/cultura/2015/hijo-vargas-llosa-habla-romance-padre-1111705.html,"Fri, 03 Jul 2015 10:17:00 CST","&quot;Nace de una infidelidad que ha causado mucho daño&quot;, expresó Gonzalo Vargas Llosa y comentó que no habla con el escritor desde que dejó a su madre, el pasado 4 de junio",El Mercurio/GDA
38,Amplían horarios para exposiciones de Da Vinci y Miguel Ángel,http://www.eluniversal.com.mx/cultura/2015/da-vinci-miguel-angel-1111692.html,"Fri, 03 Jul 2015 09:42:00 CST","De acuerdo con el Instituto, en sus primeros siete días de exhibición, ambas exposiciones han recibido a más de 23 mil visitantes",Redacción
59,El Foco Encuentran extraña criatura marina con pelo,http://www.eluniversal.com.mx/sociedad/2015/el-foco-encuentran-extrania-criatura-marina-con-pelo-1111788.html,"Fri, 03 Jul 2015 16:34:00 CST",Noticias de la semana alumbradas con irreverencia y desenfado,Redacción
60,Pareja muere junta luego de 75 años de casados,http://www.eluniversal.com.mx/sociedad/2015/pareja-muere-junta-casados-1111759.html,"Fri, 03 Jul 2015 14:09:00 CST",Les dijeron a sus hijos que deseaban morir en los brazos del otro y el mes pasado cumplieron su deseo,AP
61,Avión solar bate dos récords mundiales,http://www.eluniversal.com.mx/sociedad/2015/avion-solar-bate-dos-records-mundiales-1111717.html,"Fri, 03 Jul 2015 11:35:00 CST","El Impulse II aterrizó en el aeropuerto de Kalaeloa, en Hawai,  después de 120 horas de vuelo",EFE
62,Cerca de 100 mil personas mueren cada año por infarto al corazón,http://www.eluniversal.com.mx/sociedad/2015/cerca-de-100-mil-personas-mueren-cada-anio-por-infarto-al-corazon-1111703.html,"Fri, 03 Jul 2015 10:55:00 CST","Reportan médicos especialistas que en México este tipo de males ocurren ahora en etapas de vida más temprana, en comparación con otros países miembros de la OCDE",Julián Sánchez
