Page,Codename,URL,"Total Interactions",Likes,Comments,Shares,"Owned Post Views","Owned Views from Shares","Owned Total Views","Percentage Views from Owned Posts","Views on Shared Posts","Views While Live","Video Time","3-Min+ Videos",Loves,Wows,Hahas,Sads,Angrys,"All Interaction Rate",Photos,Links,Statuses,"Facebook Videos","Other Videos","Total Posts","Photo Posts","Link Posts","Status Posts","Owned Video Posts","Shared Video Posts","Other Video Posts","Posts Per Day","Page Likes","Page Growth","Page Growth %"
Nación321,Nacion321,http://www.facebook.com/605212986321028,"9,156,266","3,502,140","679,319","2,670,018","26,800,890","23,243,098","50,043,988",54%,"1,991,645.00","344,356",41:13:44,301,"668,026","182,055","1,070,382","69,880","314,446",0.16%,0.07%,0.15%,0.03%,0.43%,0.02%,9608,578,7908,4,726,388,4,26.32,"624,290","79,574.00",14.61%
nacion.com,lanacioncr,http://www.facebook.com/115872105050,"8,003,568","3,531,071","1,072,497","1,107,077","17,518,817","3,380,967","20,899,784",84%,"15,028.00","1,367,499",75:22:08,361,"613,477","222,295","537,999","270,881","648,271",0.04%,0.04%,0.04%,0.01%,0.06%,--,24515,772,22505,74,1161,3,0,67.16,"804,833","11,145.00",1.40%
"Cultura Colectiva +",culturacolectivaplus,http://www.facebook.com/1381450335205759,"7,885,088","2,249,828","542,166","3,895,082","118,350,750","163,720,885","282,071,635",42%,"6,869,080.00",0,93:25:44,"1,310","623,514","219,734","94,874","167,084","92,806",0.02%,0.01%,0.00%,0.00%,0.07%,--,14179,392,10793,32,2560,402,0,38.85,"3,731,173","617,345.00",19.83%
"24 Horas. El Diario sin Límites",Diario24Horas,http://www.facebook.com/209428235768912,"7,550,639","2,052,683","566,477","2,308,184","12,302,805","2,689,046","14,991,851",82%,"72,424.00","527,379",55:54:18,399,"390,413","382,375","978,890","273,606","598,011",0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,38651,3296,32816,83,2442,12,2,105.89,"2,392,943","-7,804.00",-0.33%
"Plano Informativo",PlanoInformativo,http://www.facebook.com/166740548951,"7,477,099","2,274,072","631,837","1,542,085","47,726,792","18,511,106","66,237,898",72%,"1,180,427.00","948,993",55:59:25,243,"604,376","614,339","984,248","370,842","455,300",0.03%,0.03%,0.01%,0.00%,0.10%,0.00%,22768,19715,568,557,1692,185,51,62.38,"1,022,484","137,668.00",15.56%
"Radio Fórmula",RadioFormulaMX,http://www.facebook.com/119863604717292,"7,195,537","2,165,452","932,732","1,743,890","18,440,036","3,765,681","22,205,717",83%,"4,230.00","1,662,458",92:03:30,103,"308,811","361,085","931,218","215,382","536,967",0.04%,0.01%,0.03%,0.00%,0.13%,--,24210,263,22838,17,1089,3,0,66.33,"816,004","76,632.00",10.36%
"El Informador",elinformador,http://www.facebook.com/115103408384,"6,359,328","2,323,247","577,956","1,247,628","6,436,417","2,888,439","9,324,856",69%,"189,672.00","428,870",29:57:38,343,"318,950","399,192","708,979","276,333","507,043",0.06%,0.02%,0.06%,0.00%,0.03%,0.00%,11344,376,10092,1,809,63,3,31.08,"997,537","29,732.00",3.07%
Político.mx,PoliticoMX,http://www.facebook.com/1522195418029530,"6,284,432","2,256,530","853,008","1,583,621","13,336,240","7,115,800","20,452,040",65%,"563,008.00","4,242",64:33:33,241,"293,182","83,695","882,170","21,295","310,931",0.04%,0.01%,0.04%,0.02%,0.05%,--,31523,2854,24808,31,3493,337,0,86.36,"585,746","176,699.00",43.20%
"Yahoo México",YahooMexico,http://www.facebook.com/107143776010250,"6,191,391","2,119,891","482,113","1,450,066","8,513,365","1,270,263","9,783,628",87%,"839,490.00",0,03:24:11,8,"339,586","346,251","760,461","228,447","464,576",0.01%,0.00%,0.01%,0.00%,0.04%,--,18841,277,18296,4,133,131,0,51.62,"3,655,300","-69,862.00",-1.88%
"Periódico AM León",leonperiodicoam,http://www.facebook.com/253267514470,"6,119,765","2,305,884","506,514","1,339,851","15,105,429","4,375,153","19,480,582",78%,"369,422.00","2,448,703",09:51:17,47,"228,416","469,477","424,644","318,275","526,704",0.08%,0.04%,0.08%,0.04%,0.08%,0.00%,17183,718,15094,13,1257,100,1,47.08,"519,610","108,850.00",26.50%
"Diario de Yucatán",DiariodeYucatan,http://www.facebook.com/124133244300592,"6,008,880","1,950,906","497,561","1,729,333","13,730,013","2,615,196","16,345,209",84%,"46,446.00","598,287",29:34:20,144,"271,000","512,291","400,556","302,718","344,515",0.12%,0.03%,0.14%,0.04%,0.06%,0.11%,10680,1220,8025,57,1363,11,4,29.26,"504,312","46,382.00",10.13%
"Animal Político",pajaropolitico,http://www.facebook.com/215547488473853,"5,945,226","1,907,858","406,429","1,697,438","2,310,888","1,103,342","3,414,230",68%,"690,584.00","47,976",07:00:47,44,"272,230","189,026","613,637","169,599","689,009",0.06%,0.02%,0.06%,0.02%,0.04%,0.00%,7512,138,7080,1,221,70,2,20.58,"1,357,706","33,794.00",2.55%
"EL IMPARCIAL",elimparcialcom,http://www.facebook.com/174347282356,"5,721,700","2,193,910","712,125","1,365,173","58,881,246","11,565,383","70,446,629",84%,"1,625,828.00","6,056,119",53:12:15,390,"221,962","384,043","287,509","268,730","288,248",0.05%,0.04%,0.05%,0.05%,0.05%,--,15202,1165,9871,21,3914,231,0,41.65,"851,022","191,653.00",29.07%
"Plumas Atómicas",Plumasatomicas,http://www.facebook.com/1389637781297509,"5,152,213","1,301,068","336,592","2,140,404","49,713,980","71,170,938","120,884,918",41%,"1,146,345.00","580,495",75:15:45,492,"369,235","118,519","396,175","124,335","365,885",0.11%,0.06%,0.08%,0.00%,0.21%,0.01%,7320,480,4446,9,2025,356,4,20.05,"702,084","129,352.00",22.59%
"El Economista",ElEconomista.mx,http://www.facebook.com/127336447321880,"4,814,989","1,791,142","379,990","1,260,692","2,776,948","669,292","3,446,240",81%,"12,137.00","144,174",11:25:40,20,"215,147","160,166","637,532","92,708","277,612",0.04%,0.04%,0.04%,0.01%,0.02%,0.01%,12023,1535,9908,4,564,8,4,32.94,"1,071,361","68,839.00",6.87%
